Shape_Length,FromID,ToID,Length,TravelTime,From_X,From_Y,To_X,To_Y
1428.699393191834,1,2,1429.258870844085,17.15,,,,
1239.506255007726,1,4,1240.0056987238531,14.88,,,,
1440.6435911546785,1,5,1441.284581128551,17.3,,,,
3389.810374723368,1,7,3391.1055079649336,40.69,,,,
974.371989787612,1,8,974.6899311874295,11.7,,,,
3217.5895794637263,1,9,3218.851456198788,38.63,,,,
3373.6418626306054,1,10,3374.9652068843184,40.5,,,,
4143.935810350053,1,11,4145.554760828616,49.75,,,,
3796.07548740876,1,12,3797.4418356192473,45.57,,,,
1407.1469986016473,1,13,1407.698249288785,16.89,,,,
1473.9758201265183,1,14,1474.4727407310972,17.69,,,,
3858.5902413386975,1,16,3860.1103626435447,46.32,,,,
1024.7918750509507,1,17,1025.1934684807188,12.3,,,,
3186.7716800627786,1,18,3188.021399013698,38.26,,,,
3485.0887697019684,1,19,3486.4556589711387,41.84,,,,
1447.1274834748215,1,20,1447.6984845821132,17.37,,,,
2861.2576014403407,1,21,2862.362985451002,34.35,,,,
1392.938177422894,1,22,1393.6660299388127,16.72,,,,
1322.1743065558255,1,23,1322.8494547478388,15.87,,,,
1092.011109463158,1,24,1092.0595954767803,13.11,,,,
982.9902444092122,1,25,983.3148737215064,11.8,,,,
1687.811945023857,1,26,1688.9034456042123,20.27,,,,
1292.7400627124728,1,28,1293.2191297482052,15.52,,,,
3497.391034027367,1,29,3498.752094348243,41.99,,,,
3275.485240626219,1,30,3276.769671673884,39.32,,,,
1395.8359751436883,1,31,1396.3825915360312,16.76,,,,
42.42685027298869,1,32,42.443586013770314,0.51,,,,
1378.2984287584156,1,33,1378.8494503758295,16.55,,,,
1292.0507691398352,1,34,1292.5571283357187,15.51,,,,
991.0750260741902,1,35,991.4631061887897,11.9,,,,
2694.5024107297168,1,36,2695.564088627533,32.35,,,,
2617.164791611007,1,38,2618.2037090725767,31.42,,,,
1022.728921952378,1,39,1023.1296239667809,12.28,,,,
1628.9608213548622,1,40,1629.8823904078372,19.56,,,,
2417.126560727156,1,41,2418.118577966913,29.02,,,,
2973.386814488261,1,42,2974.5599547276374,35.7,,,,
2964.0055452517054,1,43,2965.1668894811787,35.58,,,,
1200.7634424145965,1,44,1201.2340651317347,14.42,,,,
1134.0806257300223,1,45,1134.0596906151573,13.61,,,,
1112.2184286824995,1,46,1112.7105831651693,13.35,,,,
2753.7114819683247,1,47,2754.7987943733933,33.06,,,,
1203.962906210711,1,48,1204.4474307457783,14.45,,,,
2819.127789557459,1,49,2820.2371693664654,33.84,,,,
978.4198792926704,1,50,978.7491991230995,11.75,,,,
955.1483730425412,1,51,955.4459159735171,11.47,,,,
904.3592093444656,1,52,904.9264221544483,10.86,,,,
1040.4484675495507,1,54,1040.8342129710427,12.49,,,,
1137.9501626993967,1,55,1138.34825359056,13.66,,,,
1098.1037781789353,1,56,1098.534493300525,13.18,,,,
1565.1825610518968,1,57,1565.8599676608483,18.79,,,,
2581.306296320781,1,58,2582.3235234646063,30.99,,,,
875.479313875414,1,59,875.8223172701864,10.51,,,,
2488.9452487252142,1,60,2489.9201396510384,29.88,,,,
1302.800421960241,1,61,1303.304892690927,15.64,,,,
2101.9551844860443,1,62,2102.779384519091,25.23,,,,
2288.23503756268,1,63,2289.1304822619595,27.47,,,,
1363.1044719996105,1,64,1363.4645720617912,16.36,,,,
