DATASOURCE,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,BUILDINGID,BUILDINGNO,COMPOUNDNA,ARABICNAME,ENGLISHNAM,NOOFFLOOR,HEIGHT,CONSTRUCTI,DESCRIPTIO,DRAWINGNO,BRANCHES,BuildingAr,ORIG_FID,Shape_X,Shape_Y
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,260,50,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,281,974,39.256649905185668,21.488933828797048
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,158,X7,غرف الكهرباء,غرف الكهرباء,Electricity room,1,0.000000000000000,,شطر الطلاب,ElectricityRoomsBuilding7X.dwg,السليمانية,1672,976,39.251870261404022,21.490685358886704
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,396,-1,الجوالة 7,الجوالة 7,Inspection 7,1,0.000000000000000,, ,AlKashafaBuilding.dwg,السليمانية,84,978,39.257031179671252,21.500907516250354
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,307,205,محطة معالجة مياه الصرف الصحي,محطة معالجة مياه الصرف الصحي,Sewer treatment,1,0.000000000000000,, ,WasteWaterSystemSurveyour.dwg,السليمانية,588,979,39.237716403649308,21.487995901517071
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,461,461,نادى الفروسية,اسطبل خيول,Horse Stable,1,0.000000000000000,, ,MasterPlanUpdated.dwg,السليمانية,827,980,39.255513130541004,21.495260655406675
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,257,47,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,281,981,39.257106686140958,21.488288180697179
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,142,107,مبنى علوم الاحياء,مبنى علوم الاحياء,Biology building,5,0.000000000000000,,شطر الطلاب,BiologyScienceBuilding107.dwg,السليمانية,2191,982,39.249285195081455,21.486544257520272
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,198,32,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,380,984,39.254701381718640,21.489869312905252
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,174,G7,بوابة رقم 7,بوابة رقم 7,Gate number 7,1,0.000000000000000,, ,SecurityGates.dwg,السليمانية,27,985,39.243381258286803,21.484911019851108
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,247,8,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,369,986,39.253521877756690,21.489800746860997
ملفات اوتوكاد - منفذة,FAL,17-006-15 0:00:00,17-006-15 0:00:00, ,0, ,CENTRAL UTILITY PLANT 2, ,CENTRAL UTILITY PLANT 2,0,0.000000000000000,, ,E0-00-PL03-AB,السليمانية,8812,988,39.240426315858599,21.500894116926737
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,166,G2,بوابة رقم 2,بوابة رقم 2,Gate number 2,1,0.000000000000000,,شطر الطلاب,SecurityGates.dwg,السليمانية,24,990,39.233445038164476,21.499890817101953
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,218,9,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,380,991,39.253865627431757,21.489156737242947
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,246,6,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,382,992,39.253236806622581,21.489990552128713
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,305,204,محطة معالجة مياه الصرف الصحي,محطة معالجة مياه الصرف الصحي,Sewer treatment,1,0.000000000000000,, ,WasteWaterSystemSurveyour.dwg,السليمانية,1252,996,39.236066131891882,21.487653466072715
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,182,74,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,281,998,39.259216132204010,21.490374638564056
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,266,56,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,278,1000,39.257556234372977,21.489979850579047
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,196,21,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,307,1001,39.255309655546732,21.490229463562748
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,-1,-1,غرفة كهرباء,غرفة كهرباء,Electricity room,1,0.000000000000000,,شطر الطلاب,MasterPlanUpdated.dwg,السليمانية,1486,1002,39.263484220810710,21.489562640174498
 , ,,, ,0,25,المربع الاكاديمي,عمادة شؤون الطلاب,Deanship of Students Affairs,0,0.000000000000000,, , ,السليمانية,2314,1003,39.245548239892670,21.494323268253083
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,461,461,نادى الفروسية,مستودع اعلاف,Storage,1,0.000000000000000,, ,MasterPlanUpdated.dwg,السليمانية,55,1005,39.255961602845765,21.495369115991792
ملفات اوتوكاد - منفذة,ZPF,23-006-15 0:00:00,23-006-15 0:00:00,HBM,0, , , ,ELECTRICAL UTILITY BUILDING,0,0.000000000000000,, ,E0-00-PL03-AB,السليمانية,235,1006,39.239962734737453,21.497533151880482
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,311,204,محطة معالجة مياه الصرف الصحي,محطة معالجة مياه الصرف الصحي,Sewer treatment,1,0.000000000000000,, ,WasteWaterSystemSurveyour.dwg,السليمانية,1251,1008,39.236124615651725,21.488112066844685
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,295,-1,بيت جاهز متنقل,بيت جاهز متنقل,Portocabin,1,0.000000000000000,, ,Portocabin.dwg,السليمانية,112,1010,39.238392787498420,21.499590567845051
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,197,29,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,376,1013,39.255112943214023,21.489819968083872
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,386,-1,غرفة كهرباء,غرفة كهرباء,Electricity Rooms,1,0.000000000000000,,شطر الطلاب,ElectricityRoomsNextToBuilding102.dwg,السليمانية,158,1015,39.244847100336955,21.485821755155317
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,204,35,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,307,1021,39.255945965953771,21.488648905406528
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,188,80,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,281,1022,39.257905577888700,21.490532768627745
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,397,-1,الجوالة 8,الجوالة 8,Inspection 8,1,0.000000000000000,, ,AlKashafaBuilding.dwg,السليمانية,235,1024,39.257176424661395,21.500922422782150
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,272,14,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV2Type1.dwg,السليمانية,250,1025,39.254282830287217,21.489538354619707
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,299,-1,بيت جاهز متنقل,غرفة فائدة,Utility Room,1,0.000000000000000,, ,Portocabin.dwg,السليمانية,45,1028,39.238796769229673,21.499018646414310
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,155,4,الادارة العامة,الادارة العامة,Public Administration,1,0.000000000000000,,شطر الطلاب,UniversitySquareParking.dwg,السليمانية,5222,1030,39.244218008525834,21.492871240057656
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,84,115,كلية العلوم,كلية العلوم,Science college,7,0.000000000000000,,شطر الطلاب,CollegeOfScience115.dwg,السليمانية,5398,1031,39.249261349228100,21.490011915918679
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,398,-1,غرف تابعة للمختبر,غرف تابعة للمختبر,Lab Room,2,0.000000000000000,, ,LabBuilding.dwg,السليمانية,72,1032,39.238398404244627,21.499316723536712
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,151,42L,كلية الهندسة - قسم الهندسة النووية,كلية الهندسة - قسم الهندسة النووية,Atomic engineering section - Engineering college,2,0.000000000000000,, ,NewFacultyOfEngineering42LH.dwg,السليمانية,1586,1034,39.245375792924527,21.485264172066383
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,457,F1,نادي الفروسية,نادي الفروسية,Horse Club,1,0.000000000000000,,شطر الطلاب,HorseClub.dwg,السليمانية,152,1035,39.255093013356699,21.493972741580354
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,297,-1,بيت جاهز متنقل,بيت جاهز متنقل,LPG,1,0.000000000000000,, ,Portocabin.dwg,السليمانية,275,1036,39.238879211213330,21.499477205826985
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,245,7,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,282,1037,39.253313910986719,21.489797417491957
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,296,-1,بيت جاهز متنقل,بيت جاهز متنقل,Portocabin,1,0.000000000000000,, ,Portocabin.dwg,السليمانية,148,1038,39.238236547629306,21.499590091424309
ملفات اوتوكاد - مسح ميداني,شركة المهيدب للمقاولات,,, ,0,CN6300,المجمع الاكاديمي,التكنولوجيا الحيوية,BIOTECHNOLOGY LAB,4,0.000000000000000,,شطر الطلاب, ,السليمانية,5531,1040,39.247882493454334,21.496143177134748
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,367,208B,المستودعات المركزية,المستودعات المركزية,Central stores,-1,0.000000000000000,,شطر الطلاب,KAAUMasterPlan.dwg,السليمانية,3555,1041,39.265277397700771,21.490545666664453
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,248,18,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,278,1042,39.254849019442169,21.490283520515664
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,82,70_GM,الادارة الطبية,الادارة الطبية,Medical Administration,3,0.000000000000000,,شطر الطلاب,MedicalAdministrationBuilding70.dwg,السليمانية,1115,1043,39.245330078310893,21.489330183308830
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,168,G6,بوابة رقم 6,بوابة رقم 6,Gate number 6,1,0.000000000000000,,شطر الطلاب,SecurityGates.dwg,السليمانية,35,1044,39.252809693875527,21.486545174091678
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,11,12MMC,المركز الطبي,كلية طب الاسنان,faculty of dentistry,4,0.000000000000000,,شطر الطلاب,MenMedicalComplexFloors.dwg,السليمانية,2077,1045,39.236419388406652,21.495887899487052
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,235,94,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,365,1047,39.256406135156972,21.491871787339182
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,-1,-1,غرفة كهرباء,غرفة كهرباء,Electricity room,1,0.000000000000000,,شطر الطلاب,MasterPlanUpdated.dwg,السليمانية,1903,1050,39.248520635130383,21.489921974619282
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,91,600,عمادة الدراسات العليا والبحث العلمي,عمادة البحث العلمي ومعهد البحوث والاستشا,Deanship of Scientific Research and the Institute of Research and Consultat,3,0.000000000000000,,شطر الطلاب,ScientificResearchAndHighEducationalInstitute600.dwg,السليمانية,2461,1051,39.249707351039625,21.488145460999771
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,202,33,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,388,1052,39.256179306561620,21.488908079942984
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,26,125,فصول دراسية,فصول دراسية,New classroom building,2,0.000000000000000,,شطر الطلاب,LectureRooms125.dwg,السليمانية,3380,1053,39.251119897728678,21.490257490907119
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,390,-1,الجوالة 1,الجوالة 1,Inspection 1,1,0.000000000000000,, ,AlKashafaBuilding.dwg,السليمانية,17,1056,39.257580916917362,21.501577414908233
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,252,24,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,367,1058,39.255830871773412,21.489980525801894
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,190,103,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,377,1059,39.256756690815429,21.491242251977923
